purple,purpl,52
miss,miss,4
tent,tent,16
duck,duck,47
destroy,destroy,67
develop,develop,57
impolite,impolit,0
soup,soup,2
cherries,cherri,14
interrupt,interrupt,58
unarmed,unarm,48
recess,recess,50
whip,whip,22
dock,dock,24
country,countri,63
queen,queen,1
needy,needi,5
ocean,ocean,51
balance,balanc,44
screw,screw,50
equable,equabl,99
toad,toad,79
veil,veil,57
man,man,4
frame,frame,26
far,far,26
scissors,scissor,98
longing,long,27
remind,remind,5
poised,pois,2
ball,ball,44
wash,wash,22
found,found,81
tricky,tricki,47
helpful,help,18
dinosaurs,dinosaur,3
coil,coil,101
staking,stake,76
apparatus,apparatus,29
many,mani,4
power,power,78
march,march,49
yak,yak,96
horse,hors,32
thumb,thumb,90
known,known,75
aspiring,aspir,21
bat,bat,54
position,posit,2
star,star,92
division,divis,98
encourage,encourag,23
steady,steadi,79
deserve,deserv,53
invite,invit,16
name,name,80
dinner,dinner,5
white,white,64
tug,tug,62
cumbersome,cumbersom,65
like,like,45
peck,peck,103
cough,cough,43
hole,hole,71
jumbled,jumbl,15
second-hand,second-hand,41
perpetual,perpetu,34
meek,meek,33
permissible,permiss,58
pathetic,pathet,6
mundane,mundan,80
twist,twist,42
hat,hat,6
adventurous,adventur,48
guide,guid,20
reaction,reaction,23
boast,boast,54
puffy,puffi,66
attach,attach,6
crush,crush,90
part,part,91
laugh,laugh,7
occur,occur,60
splendid,splendid,8
bag,bag,28
funny,funni,40
cats,cat,59
radiate,radiat,79
bite,bite,9
phobic,phobic,18
nondescript,nondescript,67
direful,dire,5
sponge,spong,78
spill,spill,2
rub,rub,85
eyes,eye,96
delightful,delight,64
gray,gray,28
turkey,turkey,34
sturdy,sturdi,29
untidy,untidi,40
thaw,thaw,6
place,place,83
shoes,shoe,18
move,move,57
picayune,picayun,37
diligent,dilig,20
obnoxious,obnoxi,101
acid,acid,86
adjoining,adjoin,3
succeed,succeed,55
thankful,thank,6
confuse,confus,81
alleged,alleg,83
tail,tail,10
magic,magic,4
level,level,57
reduce,reduc,24
strap,strap,21
activity,activ,86
point,point,89
old,old,11
dreary,dreari,84
stone,stone,51
extend,extend,16
victorious,victori,88
delay,delay,99
evanescent,evanesc,35
guess,guess,62
questionable,question,89
terrify,terrifi,58
insidious,insidi,94
impartial,imparti,91
jobless,jobless,65
rabbits,rabbit,31
cagey,cagey,83
spray,spray,21
existence,exist,12
button,button,63
texture,textur,34
fit,fit,40
frantic,frantic,23
steep,steep,13
vagabond,vagabond,41
psychotic,psychot,32
songs,song,81
scribble,scribbl,25
rock,rock,60
belligerent,belliger,46
tranquil,tranquil,48
creepy,creepi,14
yummy,yummi,15
unequaled,unequ,1
spooky,spooki,2
obsequious,obsequi,85
death,death,38
gentle,gentl,16
lumpy,lumpi,15
malicious,malici,25
disagreeable,disagre,84
soak,soak,89
earthy,earthi,38
teeny,teeni,16
walk,walk,73
hypnotic,hypnot,18
dynamic,dynam,80
produce,produc,68
perfect,perfect,58
cold,cold,11
well-made,well-mad,80
mug,mug,36
influence,influenc,61
colour,colour,69
digestion,digest,67
peaceful,peac,103
kiss,kiss,94
tidy,tidi,79
summer,summer,17
shivering,shiver,53
adamant,adam,80
inject,inject,16
ski,ski,94
year,year,96
machine,machin,4
nation,nation,89
tremendous,tremend,39
hope,hope,18
regular,regular,7
snake,snake,33
cake,cake,83
step,step,13
observant,observ,65
quartz,quartz,48
right,right,64
tasteful,tast,30
moldy,moldi,11
plastic,plastic,25
vase,vase,53
clip,clip,25
ticket,ticket,47
ring,ring,46
homely,home,18
hammer,hammer,49
word,word,19
picture,pictur,29
sheep,sheep,18
comb,comb,56
knowledgeable,knowledg,75
sisters,sister,42
tendency,tendenc,51
fish,fish,74
accessible,access,50
toothpaste,toothpast,32
crack,crack,59
vanish,vanish,89
spicy,spici,2
bashful,bash,90
blood,blood,11
pull,pull,15
return,return,34
office,offic,93
sulky,sulki,45
mighty,mighti,64
believe,believ,9
jumpy,jumpi,15
entertaining,entertain,23
permit,permit,58
foot,foot,30
ambitious,ambiti,54
baby,babi,31
bent,bent,16
disagree,disagre,84
violet,violet,57
faded,fade,26
book,book,56
chin,chin,70
smile,smile,102
measure,measur,17
library,librari,31
iron,iron,60
waste,wast,92
giddy,giddi,20
bow,bow,56
separate,separ,21
hurry,hurri,66
grass,grass,28
heavy,heavi,86
wish,wish,22
seed,seed,55
nappy,nappi,37
annoyed,annoy,87
bikes,bike,9
curve,curv,88
placid,placid,25
lively,live,57
bumpy,bumpi,15
illegal,illeg,46
spectacular,spectacular,52
resonant,reson,78
increase,increas,23
drown,drown,19
jam,jam,36
childlike,childlik,47
aunt,aunt,48
last,last,76
squeamish,squeamish,77
truthful,truth,34
sniff,sniff,94
shape,shape,21
sense,sens,35
substantial,substanti,89
approval,approv,68
rifle,rifl,46
devilish,devilish,74
direction,direct,67
ten,ten,16
squeak,squeak,77
blind,blind,101
unadvised,unadvis,3
scream,scream,50
attempt,attempt,82
first,first,42
potato,potato,54
certain,certain,23
various,various,3
lovely,love,57
dress,dress,53
clear,clear,83
recognise,recognis,78
purring,pur,68
appreciate,appreci,14
surround,surround,81
downtown,downtown,75
record,record,24
pale,pale,83
crazy,crazi,31
classy,classi,25
water,water,92
feeling,feel,61
land,land,100
milky,milki,45
plane,plane,37
grouchy,grouchi,43
shiny,shini,94
probable,probabl,97
thoughtless,thoughtless,62
bawdy,bawdi,79
oceanic,ocean,51
worry,worri,19
destruction,destruct,67
deceive,deceiv,55
fax,fax,26
coat,coat,54
unruly,unruli,40
upbeat,upbeat,77
simplistic,simplist,0
future,futur,40
well-off,well-off,71
rhythm,rhythm,49
fearful,fear,26
aback,aback,44
normal,normal,27
possess,possess,78
appear,appear,21
cushion,cushion,63
bless,bless,102
care,care,50
scrawny,scrawni,23
efficacious,efficaci,103
door,door,19
trade,trade,38
one,one,51
subsequent,subsequ,77
fearless,fearless,26
ragged,rag,28
grip,grip,46
inexpensive,inexpens,8
black-and-white,black-and-whit,23
kitty,kitti,47
canvas,canva,86
silky,silki,45
page,page,103
fence,fenc,35
excite,excit,12
prose,prose,78
pass,pass,21
sweltering,swelter,92
uncle,uncl,69
stew,stew,92
venomous,venom,57
quiet,quiet,77
blow,blow,95
woman,woman,27
loud,loud,11
reach,reach,50
trucks,truck,69
grab,grab,28
wistful,wist,22
narrow,narrow,27
account,account,63
secretive,secret,67
precious,precious,14
switch,switch,22
try,tri,42
historical,histor,32
collect,collect,51
clover,clover,57
gruesome,gruesom,17
maid,maid,79
luxuriant,luxuri,46
interest,interest,42
brash,brash,97
science,scienc,35
stupid,stupid,29
clean,clean,83
spot,spot,2
night,night,64
numerous,numer,17
aquatic,aquat,77
fool,fool,11
medical,medic,55
remember,rememb,65
zippy,zippi,2
pack,pack,103
consist,consist,89
crayon,crayon,60
hushed,hush,90
descriptive,descript,67
dramatic,dramat,38
hateful,hate,6
spiritual,spiritu,29
living,live,57
surprise,surpris,29
industry,industri,3
amount,amount,48
hurt,hurt,34
lucky,lucki,45
avoid,avoid,98
lazy,lazi,10
fast,fast,30
furtive,furtiv,40
bizarre,bizarr,31
clammy,clammi,25
request,request,77
lie,lie,61
hill,hill,74
worthless,worthless,71
uttermost,uttermost,17
stimulating,stimul,15
complete,complet,0
fallacious,fallaci,25
sleep,sleep,52
wide,wide,75
achiever,achiev,86
synonymous,synonym,41
open,open,78
rinse,rins,94
shoe,shoe,18
fold,fold,11
trot,trot,32
honorable,honor,60
beautiful,beauti,9
alive,aliv,10
trains,train,23
closed,close,83
glow,glow,95
bright,bright,64
juice,juic,88
way,way,87
wander,wander,84
grease,greas,50
communicate,communic,63
attack,attack,59
black,black,44
makeshift,makeshift,82
gaudy,gaudi,20
consider,consid,98
satisfying,satisfi,30
humorous,humor,43
borrow,borrow,19
attract,attract,59
snore,snore,78
glib,glib,46
wide-eyed,wide-ey,5
maniacal,maniac,4
short,short,32
functional,function,63
panoramic,panoram,27
ablaze,ablaz,44
dream,dream,84
pump,pump,15
keen,keen,33
degree,degre,84
male,male,83
nostalgic,nostalg,89
useless,useless,52
queue,queue,1
retire,retir,58
print,print,91
milk,milk,45
actor,actor,59
offend,offend,75
matter,matter,39
describe,describ,67
daily,daili,10
thundering,thunder,38
house,hous,90
utter,utter,34
ancient,ancient,23
growth,growth,32
home,home,18
receipt,receipt,14
brother,brother,32
pin,pin,37
daffy,daffi,79
box,box,56
nonchalant,nonchal,70
scene,scene,35
amusement,amus,36
plain,plain,37
gamy,gami,4
abusive,abus,90
hungry,hungri,43
tangible,tangibl,10
thread,thread,38
nail,nail,37
lackadaisical,lackadais,25
righteous,righteous,43
vague,vagu,7
super,super,52
burst,burst,85
mammoth,mammoth,6
agreement,agreement,39
rainstorm,rainstorm,89
decorate,decor,24
gold,gold,11
call,call,83
effect,effect,51
furniture,furnitur,40
glass,glass,25
marry,marri,49
hot,hot,32
saw,saw,92
flash,flash,74
handsome,handsom,41
bleach,bleach,44
nebulous,nebul,1
smoke,smoke,65
slave,slave,76
slow,slow,95
ink,ink,94
stir,stir,42
wry,wri,19
store,store,32
vegetable,veget,62
lowly,lowli,95
rough,rough,43
admit,admit,79
fuzzy,fuzzi,66
brave,brave,84
cable,cabl,44
boorish,boorish,97
imported,import,0
women,women,75
daughter,daughter,38
muddled,muddl,15
lewd,lewd,99
quicksand,quicksand,3
juggle,juggl,7
pleasant,pleasant,76
pickle,pickl,45
utopian,utopian,63
ratty,ratti,91
admire,admir,84
pricey,pricey,14
push,push,90
kill,kill,45
guitar,guitar,48
unnatural,unnatur,48
boundary,boundari,3
animal,anim,4
mellow,mellow,71
grandmother,grandmoth,41
knock,knock,60
rightful,right,64
order,order,24
girl,girl,46
observation,observ,65
afternoon,afternoon,26
frighten,frighten,64
adorable,ador,72
morning,morn,27
kick,kick,47
nifty,nifti,40
adhesive,adhes,38
fog,fog,93
assorted,assort,32
driving,drive,5
six,six,12
celery,celeri,14
feigned,feign,16
wreck,wreck,73
icky,icki,47
ear,ear,26
tame,tame,82
knife,knife,33
nauseating,nauseat,77
overwrought,overwrought,43
hum,hum,49
disappear,disappear,21
voiceless,voiceless,98
natural,natur,48
busy,busi,85
unsightly,unsight,64
follow,follow,95
hard-to-find,hard-to-find,72
wandering,wander,84
tease,teas,76
airport,airport,91
cycle,cycl,44
abhorrent,abhorr,97
harm,harm,49
tiny,tini,16
succinct,succinct,63
plausible,plausibl,15
sad,sad,100
drink,drink,5
tall,tall,10
blushing,blush,90
view,view,22
tawdry,tawdri,79
silver,silver,53
scared,scare,50
nut,nut,48
boundless,boundless,81
volatile,volatil,10
connect,connect,51
price,price,14
irritating,irrit,42
shocking,shock,32
voice,voic,98
chess,chess,35
fabulous,fabul,44
birds,bird,31
side,side,55
examine,examin,4
smash,smash,36
shock,shock,32
repulsive,repuls,52
mindless,mindless,8
fork,fork,72
debt,debt,9
snail,snail,25
famous,famous,36
argument,argument,39
meddle,meddl,102
scorch,scorch,32
fade,fade,26
poor,poor,68
serve,serv,53
cave,cave,83
taboo,taboo,54
confess,confess,35
flaky,flaki,45
holiday,holiday,11
ruddy,ruddi,66
polite,polit,0
silent,silent,16
roasted,roast,32
decision,decis,55
terrific,terrif,58
mailbox,mailbox,101
bomb,bomb,56
suspect,suspect,13
loving,love,57
cry,cri,14
sprout,sprout,29
quiver,quiver,88
pet,pet,13
exchange,exchang,70
false,fals,30
efficient,effici,61
film,film,61
expand,expand,80
worm,worm,19
travel,travel,76
attend,attend,80
value,valu,7
jazzy,jazzi,31
pest,pest,13
frequent,frequent,40
craven,craven,23
religion,religion,46
secret,secret,67
invincible,invinc,86
overt,overt,34
design,design,8
pretty,pretti,58
better,better,9
ethereal,ether,38
steadfast,steadfast,30
languid,languid,7
sigh,sigh,22
donkey,donkey,75
festive,festiv,12
square,squar,77
substance,substanc,48
faulty,faulti,10
cloistered,cloister,67
attraction,attract,59
free,free,26
girls,girl,46
bouncy,bounci,63
changeable,changeabl,70
ugliest,ugliest,62
incredible,incred,5
flower,flower,71
cap,cap,103
fresh,fresh,74
hollow,hollow,71
momentous,moment,51
fry,fri,66
flavor,flavor,72
caring,care,50
humor,humor,43
form,form,72
workable,workabl,97
important,import,0
manage,manag,4
grumpy,grumpi,15
week,week,73
blot,blot,101
stomach,stomach,41
marble,marbl,27
identify,identifi,16
field,field,61
corn,corn,60
seal,seal,76
rigid,rigid,20
punish,punish,29
alarm,alarm,27
disillusioned,disillus,8
file,file,61
skirt,skirt,42
jolly,jolli,101
cynical,cynic,63
hellish,hellish,74
sweet,sweet,92
gifted,gift,93
channel,channel,83
range,rang,28
absurd,absurd,85
sore,sore,65
middle,middl,15
suggest,suggest,62
lamp,lamp,15
puncture,punctur,48
continue,continu,63
eight,eight,64
quizzical,quizzic,88
cut,cut,69
town,town,51
profit,profit,91
toys,toy,54
wink,wink,94
kettle,kettl,76
absent,absent,82
unwieldy,unwieldi,8
tie,tie,9
selective,select,76
proud,proud,68
spiffy,spiffi,2
knotty,knotti,89
cart,cart,59
somber,somber,65
trap,trap,91
spoon,spoon,78
mark,mark,49
furry,furri,66
cars,car,59
pause,paus,36
yarn,yarn,96
smiling,smile,102
breath,breath,38
back,back,44
ad hoc,ad hoc,41
hallowed,hallow,71
berserk,berserk,65
carriage,carriag,28
wrist,wrist,42
mend,mend,80
actually,actual,69
throat,throat,32
notice,notic,63
snotty,snotti,89
sail,sail,25
tightfisted,tightfist,64
electric,electr,69
hard,hard,38
listen,listen,16
discreet,discreet,67
hospital,hospit,2
hulking,hulk,7
possible,possibl,2
pray,pray,96
standing,stand,100
apparel,apparel,21
bee,bee,9
mom,mom,56
pour,pour,68
smooth,smooth,32
recondite,recondit,23
receive,receiv,14
hate,hate,6
truculent,trucul,69
addicted,addict,79
teeny-tiny,teeny-tini,16
depend,depend,8
vacation,vacat,86
change,chang,70
pumped,pump,15
magical,magic,4
watch,watch,6
competition,competit,0
improve,improv,0
pig,pig,20
whole,whole,71
unusual,unusu,81
sugar,sugar,28
afford,afford,72
handsomely,handsom,41
charge,charg,70
remain,remain,4
shame,shame,82
live,live,57
wise,wise,22
weak,weak,73
stereotyped,stereotyp,78
selfish,selfish,74
bake,bake,73
green,green,39
reply,repli,58
wooden,wooden,75
elastic,elast,76
exciting,excit,12
drawer,drawer,84
wheel,wheel,71
deep,deep,8
scatter,scatter,50
paddle,paddl,37
curl,curl,69
red,red,84
hook,hook,18
adjustment,adjust,77
burly,bur,85
gigantic,gigant,89
spotted,spot,2
oil,oil,101
ajar,ajar,96
testy,testi,12
flow,flow,95
card,card,59
statuesque,statuesqu,77
responsible,respons,78
motion,motion,89
addition,addit,79
melt,melt,102
tiresome,tiresom,65
available,avail,10
maddening,madden,80
vest,vest,13
amusing,amus,36
provide,provid,98
stick,stick,47
zipper,zipper,58
fluttering,flutter,34
branch,branch,70
sound,sound,81
wicked,wick,47
rake,rake,26
cross,cross,60
popcorn,popcorn,60
eggs,egg,62
unbecoming,unbecom,51
taste,tast,30
flesh,flesh,74
odd,odd,11
stale,stale,76
merciful,merci,14
weight,weight,64
scarecrow,scarecrow,50
abnormal,abnorm,27
subdued,subdu,90
rescue,rescu,17
spiteful,spite,13
steam,steam,82
oven,oven,57
pail,pail,37
empty,empti,58
befitting,befit,9
rabbit,rabbit,31
toothbrush,toothbrush,32
lace,lace,83
massive,massiv,36
bad,bad,99
dare,dare,84
long,long,27
futuristic,futurist,40
crowded,crowd,19
wealth,wealth,76
nimble,nimbl,101
invention,invent,16
work,work,19
bruise,bruis,85
vivacious,vivaci,86
astonishing,astonish,89
yawn,yawn,87
curvy,curvi,88
scale,scale,83
serious,serious,85
nutritious,nutriti,40
title,titl,10
plantation,plantat,37
doubt,doubt,54
station,station,89
orange,orang,28
belief,belief,61
bushes,bush,90
minute,minut,40
apologise,apologis,2
zip,zip,2
careless,careless,50
tested,test,13
breathe,breath,38
fat,fat,30
pleasure,pleasur,52
kind,kind,94
tremble,trembl,65
party,parti,91
noise,nois,89
shrill,shrill,74
decide,decid,55
fumbling,fumbl,15
kindly,kind,94
reproduce,reproduc,24
fortunate,fortun,40
grade,grade,84
obtainable,obtain,89
filthy,filthi,74
hop,hop,18
acceptable,accept,103
rule,rule,52
strip,strip,29
suit,suit,29
joyous,joyous,81
curtain,curtain,23
stranger,stranger,39
safe,safe,30
deeply,deepli,8
delight,delight,64
decorous,decor,24
vacuous,vacuous,98
sweater,sweater,92
magenta,magenta,39
fluffy,fluffi,61
stuff,stuff,30
bridge,bridg,20
excellent,excel,83
cultured,cultur,69
discussion,discuss,55
dizzy,dizzi,20
abortive,abort,54
extra-large,extra-larg,39
periodic,period,24
evasive,evas,53
juicy,juici,88
savory,savori,3
treat,treat,92
goofy,goofi,93
ruthless,ruthless,52
skinny,skinni,94
obey,obey,65
low,low,95
whimsical,whimsic,22
laughable,laughabl,7
tow,tow,95
story,stori,42
fantastic,fantast,30
wait,wait,10
letter,letter,34
ray,ray,96
regret,regret,34
harbor,harbor,97
tomatoes,tomato,54
hair,hair,49
discover,discov,98
blade,blade,99
large,larg,28
bored,bore,65
undress,undress,5
murder,murder,17
sand,sand,100
test,test,13
hand,hand,100
boiling,boil,101
kneel,kneel,33
smell,smell,102
stem,stem,82
deadpan,deadpan,80
bed,bed,99
peace,peac,103
zebra,zebra,31
disturbed,disturb,85
cover,cover,24
imaginary,imaginari,4
hanging,hang,70
